dataset,method,experiment,seed,calibrator,ECE,n_samples
UCI_CTG_NSPbin,lgo,base,21,none,0.4490152432130976,426
UCI_CTG_NSPbin,lgo,base,21,isotonic_cv3,0.0,426
UCI_CTG_NSPbin,rils_rols,base,89,none,0.35263464199194444,426
UCI_CTG_NSPbin,rils_rols,base,89,isotonic_cv3,0.042465376492471806,426
UCI_CTG_NSPbin,lgo_lgo,hard,5,none,0.4490152432130976,426
UCI_CTG_NSPbin,lgo_lgo,hard,5,isotonic_cv3,0.0,426
UCI_CTG_NSPbin,lgo_lgo,hard,34,none,0.4490152432130976,426
UCI_CTG_NSPbin,lgo_lgo,hard,34,isotonic_cv3,0.0,426
UCI_CTG_NSPbin,operon,base,55,none,0.44901646889051744,426
UCI_CTG_NSPbin,operon,base,55,isotonic_cv3,0.0,426
UCI_CTG_NSPbin,operon,base,1,none,0.44919828855130256,426
UCI_CTG_NSPbin,operon,base,1,isotonic_cv3,0.0,426
UCI_CTG_NSPbin,lgo_lgo,hard,2,none,0.4490152432130976,426
UCI_CTG_NSPbin,lgo_lgo,hard,2,isotonic_cv3,0.0,426
UCI_CTG_NSPbin,pysr,base,89,none,0.449015250839675,426
UCI_CTG_NSPbin,pysr,base,89,isotonic_cv3,0.0,426
UCI_CTG_NSPbin,pysr,base,8,none,0.4490152453315219,426
UCI_CTG_NSPbin,pysr,base,8,isotonic_cv3,0.0,426
UCI_CTG_NSPbin,pstree,base,2,none,0.47952700492626893,426
UCI_CTG_NSPbin,pstree,base,2,isotonic_cv3,0.06923454019181594,426
UCI_CTG_NSPbin,rils_rols,base,5,none,0.38206982187158584,426
UCI_CTG_NSPbin,rils_rols,base,5,isotonic_cv3,0.029261858798091244,426
UCI_CTG_NSPbin,rils_rols,base,8,none,0.7793427230046949,426
UCI_CTG_NSPbin,rils_rols,base,8,isotonic_cv3,0.0,426
UCI_CTG_NSPbin,operon,base,2,none,0.4490170896426011,426
UCI_CTG_NSPbin,operon,base,2,isotonic_cv3,0.0,426
UCI_CTG_NSPbin,rils_rols,base,34,none,0.1945243319522638,426
UCI_CTG_NSPbin,rils_rols,base,34,isotonic_cv3,0.023816326776284088,426
UCI_CTG_NSPbin,pstree,base,8,none,0.45080187695099616,426
UCI_CTG_NSPbin,pstree,base,8,isotonic_cv3,0.03626924153607313,426
UCI_CTG_NSPbin,pysr,base,55,none,0.4490152414823586,426
UCI_CTG_NSPbin,pysr,base,55,isotonic_cv3,0.0,426
UCI_CTG_NSPbin,lgo_lgo,hard,55,none,0.4490152432130976,426
UCI_CTG_NSPbin,lgo_lgo,hard,55,isotonic_cv3,0.0,426
UCI_CTG_NSPbin,lgo_lgo,soft,3,none,0.44765115291127694,426
UCI_CTG_NSPbin,lgo_lgo,soft,3,isotonic_cv3,1.0495165077319977e-06,426
UCI_CTG_NSPbin,lgo_lgo,soft,89,none,0.4484188632196824,426
UCI_CTG_NSPbin,lgo_lgo,soft,89,isotonic_cv3,0.0,426
UCI_CTG_NSPbin,lgo,base,2,none,0.4490152432130976,426
UCI_CTG_NSPbin,lgo,base,2,isotonic_cv3,0.0,426
UCI_CTG_NSPbin,rils_rols,base,1,none,0.27070760931220716,426
UCI_CTG_NSPbin,rils_rols,base,1,isotonic_cv3,0.02912291777309403,426
UCI_CTG_NSPbin,lgo_lgo,soft,5,none,0.45149688743511723,426
UCI_CTG_NSPbin,lgo_lgo,soft,5,isotonic_cv3,2.3553194686312556e-05,426
UCI_CTG_NSPbin,rils_rols,base,21,none,0.30358086860939476,426
UCI_CTG_NSPbin,rils_rols,base,21,isotonic_cv3,0.007048135558454982,426
UCI_CTG_NSPbin,lgo_lgo,hard,21,none,0.4490152432130976,426
UCI_CTG_NSPbin,lgo_lgo,hard,21,isotonic_cv3,0.0,426
UCI_CTG_NSPbin,pysr,base,21,none,0.44901499190476796,426
UCI_CTG_NSPbin,pysr,base,21,isotonic_cv3,0.0,426
UCI_CTG_NSPbin,rils_rols,base,3,none,0.4997464032043767,426
UCI_CTG_NSPbin,rils_rols,base,3,isotonic_cv3,2.7755575615628914e-17,426
UCI_CTG_NSPbin,pysr,base,2,none,0.4490152453869055,426
UCI_CTG_NSPbin,pysr,base,2,isotonic_cv3,0.0,426
UCI_CTG_NSPbin,lgo,base,1,none,0.4490152432130976,426
UCI_CTG_NSPbin,lgo,base,1,isotonic_cv3,0.0,426
UCI_CTG_NSPbin,lgo,base,5,none,0.4490152432130976,426
UCI_CTG_NSPbin,lgo,base,5,isotonic_cv3,0.0,426
