dataset,method,experiment,seed,complexity,loss,expr
UCI_HydraulicSys_fault_score,lgo,lgo_soft,55,169.6,0.0038964973694316,"sub(mul(sqrt(sub(pow(lgo(sub(pow(0.8113255409150316, lgo_or2(zero, id(PS3_mean), as_pos(one), -2.3180694621863003)), zero), 0.5183154070575307, as_thr(lgo_or2(lgo_or2(zero, id(PS3_kurt), 0.33978793177373207, -1.8094551932924376), lgo_or2(1.3567274337080821, zero, 0.3709163634291669, -2.5487478767832377), 4.295666977935235, -0.6684486269187154))), lgo_or2(lgo_and2(id(PS3_kurt), lgo(add(zero, mul(one, one)), 0.3005619376535183, -1.8428444845640914), as_pos(lgo_and3(0.8113255409150316, 0.12149559446523886, one, 3.8098241917584486, as_thr(zero))), -2.9411726196261005), id(idF(idF(PS3_std))), as_pos(div(one, zero)), -2.2182153219061482)), zero)), lgo(sub(pow(0.8113255409150316, lgo_or2(-0.5956537166735146, id(SE_mean), as_pos(one), -0.9320839984192595)), zero), as_pos(lgo_and3(pow(mul(one, one), lgo_and3(lgo_or2(pow(one, -0.3512048209238181), div(-0.5183684518280574, one), 0.33978793177373207, 2.7608449753276454), div(sub(zero, zero), div(-0.6083864849403853, one)), id(TS4_std), 3.411589882693991, -2.915053664101284)), lgo_or2(pow(id(TS4_std), pow(one, one)), add(id(TS4_std), pow(sub(0.9745134126364529, 0.6769470907413093), gate_expr(0.8954401400204406, 3.411589882693991, 1.5541863961785076))), as_pos(sqrt(pow(lgo_and3(-1.6694746282342905, 1.835337291971732, one, 0.18947608361205384, 0.8454981383144843), zero))), -1.8817899650261551), gate_expr(gate_expr(pow(0.8113255409150316, lgo_or2(-0.5956537166735146, id(SE_mean), as_pos(one), -1.3951433425081283)), as_pos(lgo_and3(-1.6694746282342905, 1.835337291971732, one, 0.1577191012163684, 0.507849638686738)), -2.4016053951550553), as_pos(mul(gate_expr(zero, 3.140204348642811, -2.8056717053338733), lgo_and3(zero, zero, zero, 0.33978793177373207, 1.2804438171584016))), as_thr(id(idF(PS3_kurt)))), as_pos(lgo_and3(pow(lgo_and2(-1.5123769015527389, one, 3.140204348642811, 1.2901429303386627), gate_expr(one, 0.8368499397596748, -0.43883707081578305)), sub(gate_expr(one, 4.772198987481676, 0.7784217524039939), lgo_or2(0.1863733785351446, -0.07166135217895397, 3.1229324060788763, -0.566347462459137)), one, as_pos(mul(0.8885225527465664, -1.5648016551412731)), as_thr(lgo_and2(zero, one, as_pos(one), 0.6927527196647625)))), as_thr(sqrt(sqrt(add(zero, zero)))))), as_thr(lgo_or2(lgo_or2(zero, id(PS3_kurt), 0.33978793177373207, -1.8686931440878398), lgo_or2(1.3567274337080821, zero, 0.3709163634291669, -2.626819844260616), as_pos(one), 0.3242044769089)))), 0.1875684377677606)"
UCI_HydraulicSys_fault_score,operon,base,89,65.25,0.0023857072899213,(0.224393 + (0.000025 * (((log(sqrt(exp(((-0.750159) * PS3_skew)))) + (cos((0.463031 * PS3_mean)) + sin(exp((0.707107 * PS3_mean))))) * (exp((0.707107 * PS3_mean)) + cos(((2.138273 * PS3_mean) + sin((5.337531 * PS3_mean)))))) * ((exp((0.707107 * PS3_mean)) + sin(sin(sin(sin(sin((0.714846 * SE_mean))))))) * ((cos(((-0.516722) * PS3_mean)) + (sqrt(exp((0.707107 * PS3_mean))) + cos(((2.005280 * PS3_mean) + sin((0.434294 * PS1_q50)))))) * (1.442695 * EPS1_q50))))))
UCI_HydraulicSys_fault_score,pstree,base,21,1.0,0.0230904263150288,PS1_iqr1
UCI_HydraulicSys_fault_score,pstree,base,13,1.5,0.0131406726541001,"sub(PS1_q501, PS3_std)"
UCI_HydraulicSys_fault_score,pstree,base,1,5.5,0.0122187774245945,"sub(sqrt(add(PS3_std, PS1_iqr1)), sqrt(PS1_std1))"
UCI_HydraulicSys_fault_score,pysr,base,3,15.5,0.0037664299608096,0.0657682375977331*PS1_std - 0.178769228567539*PS3_skew + 2.22220434582282*sin(PS3_std*SE_mean**(1/4)) - 1.94384569617462
UCI_HydraulicSys_fault_score,pysr,base,13,15.75,0.0034897760788794,sin(FS1_std*PS3_mean - FS1_std*(0.95178384 - PS3_skew/(FS1_std + PS3_mean*1.9234478)) + 0.9683273) - 1*(-0.87346005)
UCI_HydraulicSys_fault_score,pysr,base,21,19.5,0.0033506981091977,FS2_std + 0.07718952*cos(0.46258894*SE_mean) + cos(PS3_mean*sqrt(log(PS3_mean*PS3_std**2 + 0.3321124*PS3_skew)))
UCI_HydraulicSys_fault_score,pysr,base,5,21.25,0.0030025940480627,((SE_mean + (PS3_skew - 1.3257915)/(PS3_std - 0.6881122) + cos(PS3_peak) - 1.1613966/(PS3_std - 1.2647884))*(-0.030597825) - 0.8681839 + 2.5784485/PS3_std)/PS3_std
UCI_HydraulicSys_fault_score,pysr,base,89,26.5,0.0027433477353587,SE_mean*((PS3_std*PS3_std + 0.20296517)*SE_mean*(-0.0007611452) + (PS3_skew*SE_mean - (-CE_mean + VS1_max - (CE_mean + PS3_skew)))*(-8.627909e-5) - 1*(-0.056296214)) - 1*(-0.05962371)
UCI_HydraulicSys_fault_score,rils_rols,base,89,28.75,0.0011014194983342,-0.239545*PS1_mean + 0.113555*PS1_std*exp(CE_mean) + 0.010847*EPS1_q75*exp(PS1_std) - 0.440427*SE_mean - 0.011492*PS2_max_diff - 0.277908*PS3_mean + 0.337805*PS3_kurt - 0.920151*PS3_skew + 0.431001
UCI_HydraulicSys_fault_score,rils_rols,base,3,29.5,0.0010836478231156,-0.247895*PS1_mean + 0.112411*PS1_std*exp(CE_mean) + 0.000169*EPS1_q75**2*exp(2*PS1_std) - 0.463029*SE_mean - 0.271293*PS3_mean + 0.272255*PS3_kurt - 0.820873*PS3_skew + 0.447327
