dataset,method,experiment,rank,expr,complexity,cv_metric,seed
UCI_CTG_NSPbin,lgo,base,11,"sqrt(pow(id(idF(NSP)), zero))",3.5,0.0,13
UCI_CTG_NSPbin,lgo,base,12,"sqrt(pow(id(idF(idF(NSP))), add(zero, zero)))",4.5,0.0,13
UCI_CTG_NSPbin,lgo,base,13,"div(sqrt(id(idF(idF(idF(NSP))))), sqrt(id(idF(idF(NSP)))))",4.5,0.0,13
UCI_CTG_NSPbin,lgo,base,14,"sqrt(pow(id(idF(idF(idF(NSP)))), add(zero, zero)))",4.5,0.0,13
UCI_CTG_NSPbin,lgo,base,15,"div(sqrt(id(NSP)), sqrt(id(idF(idF(idF(NSP))))))",4.5,0.0,13
UCI_CTG_NSPbin,lgo,base,16,"div(sqrt(id(idF(idF(NSP)))), sqrt(id(idF(idF(idF(idF(NSP)))))))",4.5,0.0,13
UCI_CTG_NSPbin,lgo,base,17,"sqrt(pow(id(idF(NSP)), add(sqrt(zero), zero)))",6.0,0.0,13
UCI_CTG_NSPbin,lgo,base,18,"sqrt(add(pow(zero, id(NSP)), pow(id(idF(idF(NSP))), add(zero, zero))))",7.5,0.0,13
UCI_CTG_NSPbin,lgo,base,19,"sqrt(add(pow(zero, id(idF(idF(NSP)))), pow(id(idF(NSP)), add(zero, zero))))",7.5,0.0,13
UCI_CTG_NSPbin,lgo,base,20,"sqrt(add(pow(zero, id(idF(idF(NSP)))), pow(sqrt(add(-0.005349457766259207, sqrt(sqrt(id(idF(idF(NSP))))))), add(zero, zero))))",13.0,0.0,13
UCI_CTG_NSPbin,lgo,base,21,"sqrt(pow(id(idF(idF(idF(NSP)))), zero))",3.5,0.0,2
UCI_CTG_NSPbin,lgo,base,22,"sqrt(pow(id(idF(idF(idF(idF(idF(NSP)))))), zero))",3.5,0.0,2
UCI_CTG_NSPbin,lgo,base,23,"sqrt(pow(sqrt(id(NSP)), zero))",5.0,0.0,2
UCI_CTG_NSPbin,lgo,base,24,"sqrt(pow(id(idF(idF(NSP))), div(zero, 1.390858921823245)))",5.0,0.0,2
UCI_CTG_NSPbin,lgo,base,25,"sqrt(pow(sqrt(id(idF(NSP))), zero))",5.0,0.0,2
UCI_CTG_NSPbin,lgo,base,26,"sqrt(add(pow(sqrt(id(idF(NSP))), zero), add(zero, zero)))",7.0,0.0,2
UCI_CTG_NSPbin,lgo,base,27,"sqrt(pow(sqrt(sqrt(sqrt(id(idF(NSP))))), zero))",8.0,0.0,2
UCI_CTG_NSPbin,lgo,base,28,"sqrt(pow(sqrt(sqrt(sqrt(sqrt(id(idF(NSP)))))), zero))",9.5,0.0,2
UCI_CTG_NSPbin,lgo,base,29,"sqrt(add(pow(zero, id(idF(NSP))), sqrt(sqrt(sqrt(pow(id(idF(NSP)), zero))))))",11.0,0.0,2
UCI_CTG_NSPbin,lgo,base,30,"sqrt(add(pow(zero, id(NSP)), sqrt(sqrt(sqrt(pow(id(NSP), zero))))))",11.0,0.0,2
UCI_CTG_NSPbin,lgo,base,31,"sqrt(div(add(zero, sqrt(id(idF(NSP)))), add(mul(pow(1.7004220570656932, -0.653964512839321), zero), sqrt(id(NSP)))))",11.0,0.0,21
UCI_CTG_NSPbin,lgo,base,32,"sqrt(add(pow(id(NSP), mul(sqrt(add(zero, sqrt(id(idF(MLTV))))), log(one))), zero))",11.0,0.0,21
UCI_CTG_NSPbin,lgo,base,33,"sqrt(div(add(mul(pow(zero, 0.11531235481019132), sub(zero, 0.003952749513052885)), sqrt(id(idF(NSP)))), add(mul(zero, zero), sqrt(id(idF(NSP))))))",13.0,0.0,21
UCI_CTG_NSPbin,lgo,base,34,"sqrt(div(add(mul(pow(zero, 0.11531235481019132), sub(zero, -0.5157781376706589)), sqrt(id(idF(NSP)))), add(mul(zero, zero), sqrt(id(NSP)))))",13.0,0.0,21
UCI_CTG_NSPbin,lgo,base,35,"sqrt(div(add(mul(pow(zero, 0.11531235481019132), sub(zero, -0.5157781376706589)), sqrt(id(idF(NSP)))), add(mul(zero, zero), sqrt(id(idF(NSP))))))",13.0,0.0,21
UCI_CTG_NSPbin,lgo,base,36,"sqrt(div(add(zero, sqrt(id(idF(NSP)))), add(mul(zero, pow(zero, add(pow(id(idF(idF(NSP))), -1.2749526353782716), -0.3411670776798606))), sqrt(id(idF(NSP))))))",14.0,0.0,21
UCI_CTG_NSPbin,lgo,base,37,"sqrt(div(add(zero, sqrt(id(idF(NSP)))), add(mul(zero, pow(zero, add(pow(id(idF(NSP)), -1.2749526353782716), -0.3411670776798606))), sqrt(id(idF(NSP))))))",14.0,0.0,21
UCI_CTG_NSPbin,lgo,base,38,"add(mul(sqrt(pow(zero, zero)), one), sqrt(pow(id(NSP), mul(sqrt(add(zero, sqrt(id(NSP)))), log(one)))))",15.5,0.0,21
UCI_CTG_NSPbin,lgo,base,39,"add(mul(sqrt(pow(zero, zero)), one), sqrt(pow(id(NSP), mul(sqrt(div(sub(zero, one), sqrt(0.11531235481019132))), log(one)))))",17.0,0.0,21
UCI_CTG_NSPbin,lgo,base,40,"add(mul(sqrt(pow(zero, zero)), one), sqrt(pow(id(NSP), mul(sqrt(add(mul(one, sqrt(zero)), sqrt(id(idF(MaxHist))))), log(one)))))",18.0,0.0,21
UCI_CTG_NSPbin,lgo,base,41,"sqrt(add(pow(id(idF(NSP)), sqrt(sub(-2.3526175507799514, 0.01853624191238508))), sqrt(log(sqrt(zero)))))",11.5,0.0,3
UCI_CTG_NSPbin,lgo,base,42,"sqrt(add(sqrt(pow(sqrt(id(idF(NSP))), sqrt(sub(0.5872463965340594, 1.1319744073943105)))), sqrt(log(one))))",13.0,0.0,3
UCI_CTG_NSPbin,lgo,base,43,"sqrt(sqrt(pow(sqrt(sqrt(pow(sqrt(id(idF(NSP))), sqrt(sub(pow(zero, one), 1.1319744073943105))))), div(0.04140998061229499, -1.515817875470785))))",17.5,0.0,3
