dataset,method,experiment,MAE_median,MAE_IQR,MAE_mean,MAE_std,MAE_n,R2_median,R2_IQR,R2_mean,R2_std,R2_n,RMSE_median,RMSE_IQR,RMSE_mean,RMSE_std,RMSE_n
eICU_composite_risk_score,lgo,base,1.2765558089505271,0.11976842600269144,1.2460850621468818,0.11598123543535094,10,0.7349546955675195,0.06349430873787043,0.7435148831310927,0.043820165109745,10,1.5846576883188344,0.15467245187350787,1.5550240458306939,0.13930728951987895,10
eICU_composite_risk_score,lgo,lgo_hard,1.3611541622585088,0.12904595698177235,1.3079243364065951,0.14751430237388197,10,0.7042385308904258,0.042580416278716116,0.7155052106180169,0.059058129645320215,10,1.7071501478093176,0.14149286586586873,1.6349540290917197,0.18505852718167012,10
eICU_composite_risk_score,lgo,lgo_soft,1.3120535767061012,0.27131286674525223,1.339029867288039,0.17137338564180674,10,0.7135172027069981,0.12234758561359182,0.7032700967386704,0.0713727598909355,10,1.6385907828595534,0.32790267201713785,1.6674843675989712,0.2109200320789667,10
eICU_composite_risk_score,operon,base,0.7723217449160993,0.06031423536246072,0.7604947765530844,0.04088998781404188,10,0.8986816153702932,0.01938996924976555,0.9022737896773935,0.011974384462967372,10,0.978765421843133,0.07741315514916414,0.9612685897644582,0.054517393245391885,10
eICU_composite_risk_score,pstree,base,1.6691957994604008,0.3944590237159631,1.7619534796932803,0.24871482035384632,10,0.5352710767549309,0.16946581273571437,0.48534124308452287,0.1463845707417668,10,2.103852301355122,0.47401816902587157,2.191748164141879,0.29939440701213826,10
eICU_composite_risk_score,pysr,base,0.9169598678127349,0.04032940301860022,0.9028159134926339,0.033273675481233236,10,0.8632728478954188,0.011931067317943134,0.8645316962904129,0.00954916609146964,10,1.1411637711330591,0.0510870422683809,1.1332783873274717,0.03837800071109274,10
eICU_composite_risk_score,rils_rols,base,1.0163873441990616,0.017877714069702177,1.0198963937264716,0.022988057060428634,10,0.8393029237367765,0.008506313868357429,0.8383791697179328,0.00743503734573682,10,1.2316022936920903,0.013670795004935288,1.2383275205166844,0.027758970964916738,10
