dataset,method,experiment,gate_type,feature,unit,mu,sigma,count,b_z_median,b_z_q1,b_z_q3,b_raw_median,b_raw_q1,b_raw_q3,n_dynamic
NHANES_metabolic_score,lgo,lgo_hard,lgo_thre,add,,,,10,-1.5988818150338375,-1.5988818150338375,-1.5988818150338375,,,,0
NHANES_metabolic_score,lgo,lgo_hard,lgo_thre,div,,,,4,-0.07630315749416945,-0.07630315749416945,-0.07630315749416945,,,,3
NHANES_metabolic_score,lgo,lgo_hard,lgo_thre,fasting_glucose,,113.71970188513811,36.822910685277755,101,-0.3852224033154265,-0.40509928410985163,0.1910600523314893,99.5346917338861,98.80276712769108,120.75508912766503,58
NHANES_metabolic_score,lgo,lgo_hard,lgo_thre,gender_std,,0.5142481367821131,0.4997969493686793,23,1.4186790370117501,1.4186790370117501,1.4186790370117501,1.2232995916138814,1.2232995916138814,1.2232995916138814,13
NHANES_metabolic_score,lgo,lgo_hard,lgo_thre,hdl_cholesterol,,53.57080227970189,15.572359637184285,21,-0.4406497087004496,-0.7113994289500698,-0.4406497087004496,46.708846541797996,42.49263452640387,46.708846541797996,0
NHANES_metabolic_score,lgo,lgo_hard,lgo_thre,one,,,,1,-1.5988844729074867,-1.5988844729074867,-1.5988844729074867,,,,0
NHANES_metabolic_score,lgo,lgo_hard,lgo_thre,pow,,,,18,-0.4406497087004496,-0.4406497087004496,-0.4406497087004496,,,,10
NHANES_metabolic_score,lgo,lgo_hard,lgo_thre,sqrt,,,,1,,,,,,,1
NHANES_metabolic_score,lgo,lgo_hard,lgo_thre,systolic_bp,,125.73992108724244,19.863198039636963,55,0.12258891579925035,0.10949131504426747,1.3193355560071969,128.17492899922732,127.914768761587,151.94614451694792,20
NHANES_metabolic_score,lgo,lgo_hard,lgo_thre,triglycerides,,111.61050416484005,90.76910380845743,32,-0.3231236471107182,-0.4163881506892508,-0.3231236471107182,82.2808602972799,73.81532489031584,82.2808602972799,17
NHANES_metabolic_score,lgo,lgo_hard,lgo_thre,unknown,,,,10,-0.3231236471107182,-0.3231236471107182,-0.3231236471107182,,,,1
NHANES_metabolic_score,lgo,lgo_hard,lgo_thre,waist_circumference,,100.04046821569487,17.060793631257045,79,-1.7065365680445388,-1.7065365680445388,0.4080118364778574,70.92560000409335,70.92560000409335,107.00147395695379,63
NHANES_metabolic_score,lgo,lgo_hard,lgo_thre,zero,,,,10,1.4186790370117501,1.4186790370117501,1.4186790370117501,,,,0
