Config,n,LGO AUROC,AutoScore AUROC,ΔAUROC,95% CI,p (Wilcoxon),Cohen's d,Effect,LGO Wins,LGO AUPRC,AutoScore AUPRC
ICU_30k_full,10,0.927±0.064,0.864±0.009,+0.063,"[0.022,0.098]",0.0273,1.31,large,7/10,0.940±0.054,0.904±0.006
ICU_100k_full,10,0.910±0.062,0.864±0.009,+0.045,"[0.006,0.083]",0.0840,0.96,large,6/10,0.923±0.053,0.904±0.006
ICU_200k_full,10,0.908±0.062,0.864±0.009,+0.044,"[0.005,0.081]",0.0840,0.95,large,6/10,0.919±0.049,0.904±0.006
ICU_300k_full,10,0.859±0.137,0.864±0.009,-0.006,"[-0.100,0.066]",0.8457,-0.06,negligible,4/10,0.885±0.108,0.904±0.006
ICU_500k_full,10,0.884±0.142,0.864±0.009,+0.019,"[-0.079,0.091]",0.2754,0.18,negligible,6/10,0.905±0.111,0.904±0.006
