dataset,method,experiment,n_models,n_with_gates,prop_with_gates,gates_median,gates_q1,gates_q3,complexity_median,complexity_q1,complexity_q3,score_median
NHANES_metabolic_score,lgo,base,100,0,0.0,0.0,0.0,0.0,36.0,32.0,41.0,0.5940940059599977
NHANES_metabolic_score,lgo,lgo_hard,100,100,1.0,5.0,4.0,8.0,53.0,48.5,60.5,0.45829733011846296
NHANES_metabolic_score,lgo,lgo_soft,100,100,1.0,12.5,8.0,17.0,72.15,52.89999999999999,96.8,0.7448558806241772
