rank,expr,cv_loss,cv_r2,instability,test_loss,test_r2,complexity,height,size,eval_calls,runtime_sec,used_lgo,used_lgo_thre,used_lgo_pair,scaler_json,experiment,typed_mode,use_zscore,prior_mode,seed,method
0,-0.823139217891586*lactate_mmol_l + 2.2385697*vasopressor_use_std + 2.2385697*sqrt(lactate_mmol_l*(sqrt(creatinine_mg_dl) + 3.016874)) - 0.902270202602232,0.6478999133751249,0.8117239665698008,0.05810767765776786,,,14.75,0,20,,7.3348166942596436,False,False,False,"{""mean"": [0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0], ""std"": [1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]}",base,none,False,baseline,3,pysr
1,-0.577767743740861*lactate_mmol_l + 2.333605*vasopressor_use_std + 2.333605*sqrt(lactate_mmol_l*sqrt(creatinine_mg_dl + 3.985715)),0.6698335313594235,0.8034524867563679,0.05717935829005169,,,13.5,0,18,,7.3361687660217285,False,False,False,"{""mean"": [0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0], ""std"": [1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]}",base,none,False,baseline,3,pysr
2,creatinine_mg_dl/hemoglobin_min + 3.4527822*sqrt(lactate_mmol_l) - 0.5115158*lactate_mmol_l + 2*vasopressor_use_std,0.7048673212798101,0.7915116221898059,0.07056437208756848,,,11.75,0,17,,7.337277173995972,False,False,False,"{""mean"": [0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0], ""std"": [1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]}",base,none,False,baseline,3,pysr
3,3.4527822*sqrt(lactate_mmol_l) - 0.5115158*lactate_mmol_l + vasopressor_use_std*(sqrt(creatinine_mg_dl) + vasopressor_use_std),0.7397659313665808,0.782785535143123,0.06198784752746686,,,11.0,0,16,,7.338239431381226,False,False,False,"{""mean"": [0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0], ""std"": [1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]}",base,none,False,baseline,3,pysr
4,3.50452417431931*sqrt(lactate_mmol_l) - 0.524856828460774*lactate_mmol_l + 2.3069308*vasopressor_use_std,0.7676116348983729,0.7757663512060667,0.051999557493051254,,,8.25,0,15,,7.339278221130371,False,False,False,"{""mean"": [0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0], ""std"": [1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]}",base,none,False,baseline,3,pysr
5,3.6102924*sqrt(lactate_mmol_l) - 0.53547126*lactate_mmol_l + 2*vasopressor_use_std,0.7987977937470824,0.7693739501338434,0.055993669076404975,,,8.25,0,12,,7.340258836746216,False,False,False,"{""mean"": [0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0], ""std"": [1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]}",base,none,False,baseline,3,pysr
6,sqrt(19.731495*sqrt(lactate_mmol_l) + 19.731495*vasopressor_use_std - 11.667840723546),0.8909005405203376,0.7425721800009162,0.05432277234393677,,,8.75,0,10,,7.341129302978516,False,False,False,"{""mean"": [0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0], ""std"": [1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]}",base,none,False,baseline,3,pysr
7,sqrt(lactate_mmol_l) + 2.485918*vasopressor_use_std + 2.3790565887094,0.9621704260074309,0.7179482303491168,0.02726520651627664,,,6.0,0,8,,7.341878890991211,False,False,False,"{""mean"": [0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0], ""std"": [1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]}",base,none,False,baseline,3,pysr
8,2.4165463*sqrt(lactate_mmol_l) + 2.4165463*vasopressor_use_std,1.2358686778432795,0.6373611348387805,0.019329732319964467,,,6.0,0,6,,7.342683553695679,False,False,False,"{""mean"": [0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0], ""std"": [1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]}",base,none,False,baseline,3,pysr
9,vasopressor_use_std*2.7669811 + 3.8214388,1.5145674518666206,0.554497460964525,0.026333024081514753,,,3.0,0,5,,7.343434810638428,False,False,False,"{""mean"": [0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0], ""std"": [1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]}",base,none,False,baseline,3,pysr
10,vasopressor_use_std + 4.5994263,2.3173690167912646,0.3280052601920548,0.032138846415441104,,,1.75,0,3,,7.344056844711304,False,False,False,"{""mean"": [0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0], ""std"": [1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]}",base,none,False,baseline,3,pysr
11,5.03956800000000,3.413443754283575,-0.0015313518833869112,0.03123883556142593,,,1.0,0,1,,7.344574451446533,False,False,False,"{""mean"": [0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0], ""std"": [1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]}",base,none,False,baseline,3,pysr
