Config,n,LGO AUROC,AutoScore AUROC,ΔAUROC,95% CI,p (Wilcoxon),Cohen's d,Effect,LGO Wins,LGO AUPRC,AutoScore AUPRC
eICU_30k_full,10,0.880±0.078,0.798±0.018,+0.082,"[0.030,0.125]",0.0195,1.37,large,8/10,0.979±0.019,0.965±0.004
eICU_100k_full,10,0.874±0.066,0.798±0.018,+0.076,"[0.028,0.119]",0.0195,1.49,large,9/10,0.978±0.014,0.965±0.004
eICU_200k_full,10,0.943±0.019,0.798±0.018,+0.145,"[0.130,0.160]",0.0020,7.38,large,10/10,0.992±0.003,0.965±0.004
eICU_300k_full,10,0.851±0.130,0.798±0.018,+0.053,"[-0.039,0.117]",0.1055,0.54,medium,8/10,0.975±0.028,0.965±0.004
