dataset,method,experiment,rank,expr,complexity,cv_metric,seed
UCI_HydraulicSys_fault_score,lgo,base,13,"div(1.6513736989280274, sub(mul(add(log(mul(div(pow(id(PS5_mean), add(zero, sub(0.19883327966333394, 1.6513736989280274))), div(id(SE_mean), zero)), pow(pow(id(EPS1_q50), sub(id(PS5_mean), 1.6513736989280274)), pow(sqrt(0.553925902949599), add(zero, sub(0.19883327966333394, 1.6513736989280274)))))), 1.6513736989280274), mul(mul(sqrt(0.553925902949599), -0.16207928806879685), add(0.41255294205796855, one))), sub(mul(sqrt(pow(sub(one, id(SE_mean)), sub(log(zero), one))), -0.16207928806879685), pow(id(FS2_mean), mul(one, sqrt(1.5924911493535931))))))",42.5,0.0098468430149165,13
UCI_HydraulicSys_fault_score,lgo,base,14,"div(1.6513736989280274, sub(mul(add(log(mul(div(pow(id(PS5_mean), add(zero, sub(0.19883327966333394, 1.6513736989280274))), div(id(SE_mean), zero)), pow(pow(id(EPS1_q50), sub(id(PS5_mean), 1.6513736989280274)), pow(sqrt(0.553925902949599), add(zero, sub(0.19883327966333394, 1.6513736989280274)))))), sub(zero, -1.4150508922499556)), mul(mul(sqrt(0.553925902949599), -0.16207928806879685), add(0.41255294205796855, one))), sub(mul(sqrt(pow(sub(one, id(SE_mean)), sub(log(zero), one))), -0.16207928806879685), pow(id(FS2_mean), mul(one, sqrt(1.5924911493535931))))))",43.5,0.0098706554570712,13
UCI_HydraulicSys_fault_score,lgo,base,15,"div(1.6513736989280274, sub(mul(add(log(mul(div(pow(id(PS5_mean), add(zero, sub(0.19883327966333394, 1.6513736989280274))), div(id(SE_mean), zero)), pow(pow(id(EPS1_q50), sub(id(PS5_mean), 1.6513736989280274)), pow(sqrt(0.553925902949599), add(zero, sub(0.19883327966333394, 1.6513736989280274)))))), one), mul(mul(sqrt(0.553925902949599), -0.16207928806879685), add(0.41255294205796855, one))), sub(mul(sqrt(pow(sub(one, id(SE_mean)), sub(log(zero), one))), -0.16207928806879685), pow(id(FS2_mean), mul(one, sqrt(1.5924911493535931))))))",42.5,0.0098749042993359,13
UCI_HydraulicSys_fault_score,lgo,base,16,"div(1.6513736989280274, sub(mul(add(log(mul(div(pow(id(PS5_mean), sub(log(one), one)), div(id(PS5_mean), zero)), pow(pow(id(SE_mean), sub(zero, 1.6513736989280274)), pow(1.5924911493535931, add(zero, sub(0.19883327966333394, zero)))))), id(EPS1_q50)), mul(mul(sqrt(0.553925902949599), -0.16207928806879685), add(0.41255294205796855, one))), sub(mul(sqrt(pow(sub(one, id(SE_mean)), sub(log(zero), 0.41255294205796855))), -0.16207928806879685), pow(id(FS2_mean), mul(one, sqrt(1.5924911493535931))))))",41.5,0.0099204255823401,13
UCI_HydraulicSys_fault_score,lgo,base,17,"div(1.6513736989280274, sub(mul(add(log(mul(div(pow(id(PS5_mean), add(zero, sub(0.19883327966333394, 1.6513736989280274))), div(id(SE_mean), zero)), pow(pow(id(EPS1_q50), sub(id(FS2_mean), 1.6513736989280274)), pow(sqrt(0.553925902949599), add(zero, sub(0.19883327966333394, 1.6513736989280274)))))), 1.6513736989280274), mul(mul(sqrt(0.553925902949599), -0.16207928806879685), add(0.41255294205796855, one))), sub(mul(sqrt(pow(sub(one, id(SE_mean)), sub(log(zero), one))), -0.16207928806879685), pow(id(FS2_mean), mul(one, sqrt(1.5924911493535931))))))",42.5,0.00997661195224,13
UCI_HydraulicSys_fault_score,lgo,base,18,"div(1.6513736989280274, sub(mul(add(log(mul(div(pow(id(PS5_mean), sub(log(one), one)), div(id(PS5_mean), zero)), pow(pow(id(SE_mean), sub(zero, 1.6513736989280274)), pow(sqrt(0.553925902949599), add(-0.16954408216285524, zero))))), id(EPS1_q50)), mul(mul(sqrt(0.553925902949599), -0.16207928806879685), add(0.41255294205796855, one))), sub(mul(sqrt(pow(sub(one, id(SE_mean)), sub(log(zero), 0.41255294205796855))), -0.16207928806879685), pow(id(FS2_mean), mul(one, sqrt(1.5924911493535931))))))",42.0,0.0099893815331418,13
UCI_HydraulicSys_fault_score,lgo,base,19,"div(1.6513736989280274, sub(mul(add(log(mul(div(pow(id(PS5_mean), add(zero, sub(0.19883327966333394, 1.6513736989280274))), div(id(SE_mean), zero)), pow(pow(id(EPS1_q50), sub(id(PS5_mean), 1.6513736989280274)), pow(sqrt(0.553925902949599), add(zero, sub(0.19883327966333394, 0.553925902949599)))))), 1.6513736989280274), mul(mul(sqrt(0.553925902949599), -0.16207928806879685), add(0.41255294205796855, one))), sub(mul(sqrt(pow(sub(one, id(SE_mean)), sub(log(zero), one))), -0.16207928806879685), pow(id(FS2_mean), mul(one, sqrt(1.5924911493535931))))))",42.5,0.0100112153499407,13
UCI_HydraulicSys_fault_score,lgo,base,20,"div(1.6513736989280274, sub(mul(add(log(mul(div(pow(id(PS5_mean), sub(log(one), one)), div(id(PS5_mean), zero)), pow(pow(id(SE_mean), sub(zero, 1.6513736989280274)), pow(sqrt(0.553925902949599), id(EPS1_q50))))), id(EPS1_q50)), mul(mul(sqrt(0.553925902949599), -0.16207928806879685), add(0.41255294205796855, one))), sub(mul(sqrt(pow(sub(one, id(SE_mean)), sub(log(zero), one))), -0.16207928806879685), pow(id(FS2_mean), mul(one, sqrt(1.5924911493535931))))))",41.0,0.0101062956987316,13
UCI_HydraulicSys_fault_score,lgo,base,21,"add(0.39689030234744993, div(id(PS3_mean), log(mul(div(sub(sub(0.1863782840673185, -0.17441892343873888), sub(0.1863782840673185, log(id(idF(FS1_std))))), sub(id(FS1_std), add(0.2881606808253796, zero))), mul(div(id(idF(idF(PS2_max_diff))), sub(id(idF(idF(FS1_std))), 0.1863782840673185)), pow(div(one, 0.1863782840673185), add(pow(div(id(PS3_mean), 0.1863782840673185), log(zero)), log(zero))))))))",27.5,0.0142091285509688,2
UCI_HydraulicSys_fault_score,lgo,base,22,"add(0.39689030234744993, div(id(PS3_mean), log(mul(div(sub(sub(0.1863782840673185, -0.17441892343873888), sub(0.1863782840673185, log(id(idF(FS1_std))))), sub(id(FS1_std), add(0.2881606808253796, zero))), mul(div(id(idF(idF(PS2_max_diff))), sub(id(idF(idF(FS1_std))), 0.1863782840673185)), pow(div(one, 0.1863782840673185), add(pow(div(id(PS3_mean), 0.1863782840673185), add(div(0.39689030234744993, 0.1863782840673185), log(zero))), log(zero))))))))",30.0,0.0142091285509688,2
