dataset,task,method,experiment,seed,split,check,status,value,threshold,notes
UCI_HydraulicSys_fault_score,regression,operon,base,5,0,metrics_guard_RMSE_ge_MAE,OK,0.020616024823711693,>= 0,
UCI_HydraulicSys_fault_score,regression,lgo,base,8,0,anomaly_scan_raw_pred,OK,,,"nan=False, inf=False, const=False, sentinel>=1000000.0=False, huge>=10000.0=False"
UCI_HydraulicSys_fault_score,regression,lgo,base,8,0,metrics_guard_RMSE_ge_MAE,OK,0.01838731938966509,>= 0,
UCI_HydraulicSys_fault_score,regression,lgo,lgo_soft,8,0,anomaly_scan_raw_pred,OK,,,"nan=False, inf=False, const=False, sentinel>=1000000.0=False, huge>=10000.0=False"
UCI_HydraulicSys_fault_score,regression,lgo,lgo_soft,8,0,metrics_guard_RMSE_ge_MAE,OK,0.022093821179146544,>= 0,
UCI_HydraulicSys_fault_score,regression,lgo,lgo_hard,8,0,anomaly_scan_raw_pred,OK,,,"nan=False, inf=False, const=False, sentinel>=1000000.0=False, huge>=10000.0=False"
UCI_HydraulicSys_fault_score,regression,lgo,lgo_hard,8,0,metrics_guard_RMSE_ge_MAE,OK,0.024159644946234737,>= 0,
UCI_HydraulicSys_fault_score,regression,pysr,base,8,0,anomaly_scan_raw_pred,OK,,,"nan=False, inf=False, const=False, sentinel>=1000000.0=False, huge>=10000.0=False"
UCI_HydraulicSys_fault_score,regression,pysr,base,8,0,metrics_guard_RMSE_ge_MAE,OK,0.023282500543181067,>= 0,
UCI_HydraulicSys_fault_score,regression,operon,base,8,0,anomaly_scan_raw_pred,OK,,,"nan=False, inf=False, const=False, sentinel>=1000000.0=False, huge>=10000.0=False"
UCI_HydraulicSys_fault_score,regression,operon,base,8,0,metrics_guard_RMSE_ge_MAE,OK,0.016716490882903556,>= 0,
UCI_HydraulicSys_fault_score,regression,lgo,base,13,0,anomaly_scan_raw_pred,OK,,,"nan=False, inf=False, const=False, sentinel>=1000000.0=False, huge>=10000.0=False"
UCI_HydraulicSys_fault_score,regression,lgo,base,13,0,metrics_guard_RMSE_ge_MAE,OK,0.01922365599672185,>= 0,
UCI_HydraulicSys_fault_score,regression,lgo,lgo_soft,13,0,anomaly_scan_raw_pred,OK,,,"nan=False, inf=False, const=False, sentinel>=1000000.0=False, huge>=10000.0=False"
UCI_HydraulicSys_fault_score,regression,lgo,lgo_soft,13,0,metrics_guard_RMSE_ge_MAE,OK,0.01572947346202916,>= 0,
UCI_HydraulicSys_fault_score,regression,lgo,lgo_hard,13,0,anomaly_scan_raw_pred,OK,,,"nan=False, inf=False, const=False, sentinel>=1000000.0=False, huge>=10000.0=False"
UCI_HydraulicSys_fault_score,regression,lgo,lgo_hard,13,0,metrics_guard_RMSE_ge_MAE,OK,0.01822496002694081,>= 0,
UCI_HydraulicSys_fault_score,regression,pysr,base,13,0,anomaly_scan_raw_pred,OK,,,"nan=False, inf=False, const=False, sentinel>=1000000.0=False, huge>=10000.0=False"
UCI_HydraulicSys_fault_score,regression,pysr,base,13,0,metrics_guard_RMSE_ge_MAE,OK,0.015120389470787608,>= 0,
UCI_HydraulicSys_fault_score,regression,operon,base,13,0,anomaly_scan_raw_pred,OK,,,"nan=False, inf=False, const=False, sentinel>=1000000.0=False, huge>=10000.0=False"
UCI_HydraulicSys_fault_score,regression,operon,base,13,0,metrics_guard_RMSE_ge_MAE,OK,0.013173635285168697,>= 0,
UCI_HydraulicSys_fault_score,regression,lgo,base,21,0,anomaly_scan_raw_pred,OK,,,"nan=False, inf=False, const=False, sentinel>=1000000.0=False, huge>=10000.0=False"
UCI_HydraulicSys_fault_score,regression,lgo,base,21,0,metrics_guard_RMSE_ge_MAE,OK,0.02572133508456359,>= 0,
UCI_HydraulicSys_fault_score,regression,lgo,lgo_soft,21,0,anomaly_scan_raw_pred,OK,,,"nan=False, inf=False, const=False, sentinel>=1000000.0=False, huge>=10000.0=False"
UCI_HydraulicSys_fault_score,regression,lgo,lgo_soft,21,0,metrics_guard_RMSE_ge_MAE,OK,0.07993059730633212,>= 0,
UCI_HydraulicSys_fault_score,regression,lgo,lgo_hard,21,0,anomaly_scan_raw_pred,OK,,,"nan=False, inf=False, const=False, sentinel>=1000000.0=False, huge>=10000.0=False"
UCI_HydraulicSys_fault_score,regression,lgo,lgo_hard,21,0,metrics_guard_RMSE_ge_MAE,OK,0.03159622292522596,>= 0,
UCI_HydraulicSys_fault_score,regression,pysr,base,21,0,anomaly_scan_raw_pred,OK,,,"nan=False, inf=False, const=False, sentinel>=1000000.0=False, huge>=10000.0=False"
UCI_HydraulicSys_fault_score,regression,pysr,base,21,0,metrics_guard_RMSE_ge_MAE,OK,0.020603293610933562,>= 0,
UCI_HydraulicSys_fault_score,regression,operon,base,21,0,anomaly_scan_raw_pred,OK,,,"nan=False, inf=False, const=False, sentinel>=1000000.0=False, huge>=10000.0=False"
UCI_HydraulicSys_fault_score,regression,operon,base,21,0,metrics_guard_RMSE_ge_MAE,OK,0.01572787526506858,>= 0,
UCI_HydraulicSys_fault_score,regression,lgo,base,34,0,anomaly_scan_raw_pred,OK,,,"nan=False, inf=False, const=False, sentinel>=1000000.0=False, huge>=10000.0=False"
UCI_HydraulicSys_fault_score,regression,lgo,base,34,0,metrics_guard_RMSE_ge_MAE,OK,0.0206686413844394,>= 0,
UCI_HydraulicSys_fault_score,regression,lgo,lgo_soft,34,0,anomaly_scan_raw_pred,OK,,,"nan=False, inf=False, const=False, sentinel>=1000000.0=False, huge>=10000.0=False"
UCI_HydraulicSys_fault_score,regression,lgo,lgo_soft,34,0,metrics_guard_RMSE_ge_MAE,OK,0.024749897459154013,>= 0,
UCI_HydraulicSys_fault_score,regression,lgo,lgo_hard,34,0,anomaly_scan_raw_pred,OK,,,"nan=False, inf=False, const=False, sentinel>=1000000.0=False, huge>=10000.0=False"
UCI_HydraulicSys_fault_score,regression,lgo,lgo_hard,34,0,metrics_guard_RMSE_ge_MAE,OK,0.030273290724067703,>= 0,
