"dataset,method,experiment,gate_type,feat","re,","nit,m",",sigma,co","nt,b_z_median,b_z_q1,b_z_q3,b_raw_median,b_raw_q1,b_raw_q3,n_dynamic"
UCI_Heart_Cleveland_n,"m,lg",",lg","_hard,lg","_thre,ca,,0.6633663366336634,0.9328323142577896,20,-0.9163616243741433,-1.5700857114077622,0.18044116615210706,-0.19144539812829597,-0.8012603511219273,0.8316876872427077,1"
UCI_Heart_Cleveland_n,"m,lg",",lg","_hard,lg","_thre,oldpeak,,1.0390059405940595,1.1565388075192478,10,0.27852559196722126,0.27852559196722126,0.3123308709712137,1.3611315965914221,1.3611315965914221,1.4002287136585552,0"
UCI_Heart_Cleveland_n,"m,lg",",lg","_hard,lg","_thre,restecg,,0.9834983498349835,0.9932403412114402,10,,,,,,,10"
UCI_Heart_Cleveland_n,"m,lg",",lg","_hard,lg","_thre,slope,,1.6006600660066006,0.6152084301256652,10,,,,,,,10"
UCI_Heart_Cleveland_n,"m,lg",",lg","_hard,lg","_thre,thal,,4.7227722772277225,1.9351813785648928,10,,,,,,,10"
UCI_Heart_Cleveland_n,"m,lg",",lg","_hard,lg","_thre,thalach,,149.6568316831683,22.795193482595476,10,0.9534897646030965,0.9534897646030965,0.9534897646030965,171.3918153509703,171.3918153509703,171.3918153509703,0"
UCI_Heart_Cleveland_n,"m,lg",",lg","_hard,lg","_thre,zero,,,,7,0.9064730223044892,0.9064730223044892,0.9064730223044892,,,,0"
