dataset,method,experiment,seed,expr_id,complexity,loss,expression
UCI_CTG_NSPbin,lgo,base,34,50,6,0.0,"sqrt(pow(id(NSP), log(one)))"
UCI_CTG_NSPbin,lgo,lgo_hard,8,181,7,0.0,"sqrt(pow(id(NSP), div(zero, -0.1651439083633875)))"
UCI_CTG_NSPbin,lgo,lgo_soft,13,213,98,0.0357766046235216,"sub(gate_expr(lgo(sqrt(sqrt(sqrt(sqrt(sqrt(id(NSP)))))), as_pos(mul(div(0.1627312167179585, zero), pow(one, zero))), 0.38344126247856847), as_pos(mul(div(0.1627312167179585, zero), pow(one, zero))), 0.3105918566423287), lgo_or2(sqrt(lgo_or2(gate_expr(-0.01048176664637822, 5.7188064532597345, 1.6914481623854023), sqrt(sqrt(sqrt(sqrt(id(NSP))))), as_pos(lgo_and2(0.1627312167179585, sub(lgo_or2(one, one, 1.4153920503970536, -0.34555135521866975), -0.8067799321367908), as_pos(mul(div(0.1627312167179585, zero), add(0.7662293840390408, lgo(1.5540120682047924, 0.349749968486615, 0.7834943514273172)))), 0.3105918566423287)), as_thr(div(id(idF(MinHist)), zero)))), lgo(add(-1.2615284637501725, 0.5302444017385923), 1.4153920503970536, as_thr(lgo_or2(one, zero, as_pos(lgo_and2(-1.0775839399490952, one, 0.349749968486615, as_thr(zero))), as_thr(log(zero))))), as_pos(mul(div(0.1627312167179585, zero), pow(one, zero))), as_thr(one)))"
UCI_CTG_NSPbin,lgo,lgo_soft,5,269,109,0.0001070207011243,"sub(gate_expr(lgo(id(NSP), 0.3019165724975586, as_thr(-1.233084111954418)), as_pos(log(mul(zero, zero))), as_thr(-0.9891386418734956)), lgo_or2(sqrt(sqrt(lgo_and2(id(NSP), lgo(add(-1.2615284637501725, 0.5302444017385923), as_pos(add(add(log(one), log(0.63284570698039)), lgo(div(one, 1.3981087450691945), 0.21427481006509919, as_thr(-0.9891386418734956)))), as_thr(0.07814652869253903)), as_pos(one), -0.0657508599456851))), lgo(add(-1.2615284637501725, add(mul(sub(add(zero, log(zero)), log(sub(sub(zero, zero), one))), lgo_and2(log(id(NSP)), lgo_and3(pow(one, zero), div(one, one), log(zero), 0.2407388847175437, as_thr(-0.9891386418734956)), 2.7768750415741477, as_thr(-0.27923873372855235))), lgo(log(add(gate_expr(zero, 0.8780624305745488, as_thr(-0.9891386418734956)), mul(id(NSP), one))), as_pos(one), as_thr(pow(lgo_and3(0.12659576288023813, -0.1729067178891521, 0.07414325236744265, as_pos(one), -0.8851343158592229), log(-0.8259253146475402)))))), as_pos(one), -1.1862279250465926), 6.506623274872037, -1.2146205053961672))"
UCI_CTG_NSPbin,lgo,lgo_soft,8,288,124,4.386597571316414e-07,"sub(gate_expr(lgo(sqrt(sqrt(sqrt(sqrt(sqrt(sqrt(id(NSP))))))), as_pos(mul(gate_expr(log(div(one, zero)), as_pos(pow(one, one)), 0.3535996506098997), pow(one, one))), -0.29030365745919184), 3.3379788350837245, as_thr(log(mul(one, zero)))), lgo_or2(lgo_and3(mul(zero, log(zero)), zero, id(NSP), as_pos(zero), as_thr(log(id(NSP)))), lgo(div(lgo_or2(mul(id(NSP), lgo_or2(mul(id(NSP), lgo_or2(zero, -1.3139107814157296, 0.9491481521350953, 0.3535996506098997)), zero, 0.9491481521350953, as_thr(-0.8081762061814921))), div(zero, one), as_pos(mul(gate_expr(log(div(one, zero)), as_pos(pow(one, one)), as_thr(lgo_and2(one, one, 0.27200384569199565, -1.3340150032815272))), pow(one, one))), as_thr(lgo(sub(gate_expr(one, 0.26014215096278215, as_thr(zero)), one), 2.6899995788860376, -1.5726980791530885))), div(mul(log(zero), lgo_or2(zero, -1.3139107814157296, 0.9491481521350953, 0.3535996506098997)), lgo(log(0.8587904352336476), as_pos(zero), as_thr(-0.8081762061814921)))), as_pos(zero), -1.117660064345294), as_pos(one), as_thr(-0.8081762061814921)))"
UCI_CTG_NSPbin,lgo,lgo_soft,21,230,128,7.132114432835749e-11,"sub(gate_expr(lgo(sqrt(lgo(sqrt(sqrt(id(NSP))), as_pos(mul(div(0.1627312167179585, zero), pow(one, zero))), as_thr(zero))), as_pos(mul(div(0.1627312167179585, zero), pow(one, zero))), as_thr(zero)), as_pos(0.6334309554989471), as_thr(log(lgo_and3(one, 0.45712896722290924, -2.7572750931876473, as_pos(0.9775089521033584), as_thr(zero))))), lgo_or2(lgo_and2(lgo_and2(lgo_or2(-0.8727189026892772, one, 2.9303980463923582, -1.1062964149373489), id(NSP), 0.5719636476425514, as_thr(zero)), id(NSP), as_pos(mul(-0.3639328917557798, one)), as_thr(lgo_or2(-0.8727189026892772, one, as_pos(lgo(-0.32542365872822193, as_pos(mul(-0.3639328917557798, one)), -1.1062964149373489)), as_thr(zero)))), lgo(lgo_and2(lgo_or2(-0.8727189026892772, one, 2.8402074742024355, -1.1062964149373489), sub(mul(-0.3639328917557798, lgo_or2(one, one, as_pos(lgo_and2(lgo_or2(-0.8727189026892772, one, 2.9303980463923582, -1.1062964149373489), one, 0.5719636476425514, as_thr(zero))), 0.7132609505405414)), id(NSP)), as_pos(mul(-0.3639328917557798, one)), as_thr(lgo_and3(sqrt(zero), lgo_or2(one, one, 2.8402074742024355, 0.7132609505405414), lgo_or2(one, one, 5.187880151375931, -1.1062964149373489), as_pos(-0.28042772621614087), 1.3366339380561303))), as_pos(0.6334309554989471), -0.08122010492459501), 2.8402074742024355, as_thr(zero)))"
UCI_CTG_NSPbin,lgo,lgo_soft,3,246,165,3.177988849668112e-11,"sub(gate_expr(lgo(lgo(sqrt(sqrt(id(NSP))), as_pos(mul(div(0.1627312167179585, zero), pow(add(1.520534130224579, gate_expr(zero, as_pos(one), 0.7543644426097101)), zero))), as_thr(pow(0.7598759772598797, 0.4653513819510422))), as_pos(mul(div(0.1627312167179585, zero), pow(add(1.520534130224579, gate_expr(zero, as_pos(one), as_thr(sub(zero, one)))), zero))), as_thr(pow(0.7598759772598797, 0.4653513819510422))), as_pos(sub(pow(one, sub(one, zero)), gate_expr(-0.5639712208208004, 1.9802315472010499, -0.3636968159846121))), as_thr(-1.2615284637501725)), lgo_or2(sqrt(mul(zero, zero)), lgo(add(-1.2615284637501725, sqrt(id(NSP))), as_pos(mul(div(0.1627312167179585, zero), pow(add(1.520534130224579, lgo_and3(-0.5393424590808771, zero, -0.7493301170246258, 0.2892907635029498, -0.34922310927677813)), one))), as_thr(lgo(add(-0.5624483317708635, log(2.352478700551358)), 1.9435495930954552, as_thr(-1.2615284637501725)))), as_pos(lgo_and3(id(idF(idF(NSP))), div(sqrt(div(one, one)), sqrt(add(zero, zero))), lgo(div(-1.2615284637501725, sqrt(zero)), as_pos(gate_expr(zero, 5.789607370124405, 0.7543644426097101)), as_thr(sub(zero, one))), as_pos(lgo_and3(one, div(sqrt(div(one, one)), sqrt(add(zero, zero))), lgo(div(mul(one, -0.5393424590808771), sqrt(zero)), 4.306693276692549, as_thr(sub(zero, one))), as_pos(lgo(sqrt(log(-0.9222951737005397)), as_pos(zero), as_thr(-1.2615284637501725))), as_thr(-1.2615284637501725))), as_thr(sqrt(div(0.29077973635766247, zero))))), 0.7543644426097101))"
UCI_CTG_NSPbin,operon,base,13,601,16,2.8244671998633653e-11,(0.978628 + ((-0.207607) * ((((((0.323311 / (0.887919 * NSP)) / (0.317298 * NSP)) / (0.887919 * NSP)) / (0.693147 * NSP)) - (0.323311 / (0.887919 * NSP))) / (0.318310 * NSP))))
UCI_CTG_NSPbin,pysr,base,2,664,1,8.705883015134801e-17,0.221778840000000
