bin,bin_lower,bin_upper,bin_center,predicted_prob,actual_prob,count,gap,dataset,method,experiment,seed,calibrator
4,0.4,0.5,0.45,,,0,,UCI_CTG_NSPbin,operon,base,34,isotonic_cv3
5,0.5,0.6000000000000001,0.55,,,0,,UCI_CTG_NSPbin,operon,base,34,isotonic_cv3
6,0.6000000000000001,0.7000000000000001,0.6500000000000001,,,0,,UCI_CTG_NSPbin,operon,base,34,isotonic_cv3
7,0.7000000000000001,0.8,0.75,,,0,,UCI_CTG_NSPbin,operon,base,34,isotonic_cv3
8,0.8,0.9,0.8500000000000001,,,0,,UCI_CTG_NSPbin,operon,base,34,isotonic_cv3
9,0.9,1.0,0.95,1.0,1.0,94,0.0,UCI_CTG_NSPbin,operon,base,34,isotonic_cv3
0,0.0,0.1,0.05,,,0,,UCI_CTG_NSPbin,operon,base,5,none
1,0.1,0.2,0.15000000000000002,,,0,,UCI_CTG_NSPbin,operon,base,5,none
2,0.2,0.30000000000000004,0.25,,,0,,UCI_CTG_NSPbin,operon,base,5,none
3,0.30000000000000004,0.4,0.35000000000000003,,,0,,UCI_CTG_NSPbin,operon,base,5,none
4,0.4,0.5,0.45,,,0,,UCI_CTG_NSPbin,operon,base,5,none
5,0.5,0.6000000000000001,0.55,0.5000025067920043,0.0,332,0.5000025067920043,UCI_CTG_NSPbin,operon,base,5,none
6,0.6000000000000001,0.7000000000000001,0.6500000000000001,,,0,,UCI_CTG_NSPbin,operon,base,5,none
7,0.7000000000000001,0.8,0.75,0.7310597960126836,1.0,94,0.26894020398731644,UCI_CTG_NSPbin,operon,base,5,none
8,0.8,0.9,0.8500000000000001,,,0,,UCI_CTG_NSPbin,operon,base,5,none
9,0.9,1.0,0.95,,,0,,UCI_CTG_NSPbin,operon,base,5,none
0,0.0,0.1,0.05,0.0,0.0,332,0.0,UCI_CTG_NSPbin,operon,base,5,isotonic_cv3
1,0.1,0.2,0.15000000000000002,,,0,,UCI_CTG_NSPbin,operon,base,5,isotonic_cv3
2,0.2,0.30000000000000004,0.25,,,0,,UCI_CTG_NSPbin,operon,base,5,isotonic_cv3
3,0.30000000000000004,0.4,0.35000000000000003,,,0,,UCI_CTG_NSPbin,operon,base,5,isotonic_cv3
4,0.4,0.5,0.45,,,0,,UCI_CTG_NSPbin,operon,base,5,isotonic_cv3
5,0.5,0.6000000000000001,0.55,,,0,,UCI_CTG_NSPbin,operon,base,5,isotonic_cv3
6,0.6000000000000001,0.7000000000000001,0.6500000000000001,,,0,,UCI_CTG_NSPbin,operon,base,5,isotonic_cv3
7,0.7000000000000001,0.8,0.75,,,0,,UCI_CTG_NSPbin,operon,base,5,isotonic_cv3
8,0.8,0.9,0.8500000000000001,,,0,,UCI_CTG_NSPbin,operon,base,5,isotonic_cv3
9,0.9,1.0,0.95,1.0,1.0,94,0.0,UCI_CTG_NSPbin,operon,base,5,isotonic_cv3
0,0.0,0.1,0.05,,,0,,UCI_CTG_NSPbin,operon,base,21,none
1,0.1,0.2,0.15000000000000002,,,0,,UCI_CTG_NSPbin,operon,base,21,none
2,0.2,0.30000000000000004,0.25,,,0,,UCI_CTG_NSPbin,operon,base,21,none
3,0.30000000000000004,0.4,0.35000000000000003,,,0,,UCI_CTG_NSPbin,operon,base,21,none
4,0.4,0.5,0.45,0.4999780054008582,0.0,332,0.4999780054008582,UCI_CTG_NSPbin,operon,base,21,none
5,0.5,0.6000000000000001,0.55,,,0,,UCI_CTG_NSPbin,operon,base,21,none
6,0.6000000000000001,0.7000000000000001,0.6500000000000001,,,0,,UCI_CTG_NSPbin,operon,base,21,none
7,0.7000000000000001,0.8,0.75,0.7310610051809496,1.0,94,0.26893899481905037,UCI_CTG_NSPbin,operon,base,21,none
8,0.8,0.9,0.8500000000000001,,,0,,UCI_CTG_NSPbin,operon,base,21,none
9,0.9,1.0,0.95,,,0,,UCI_CTG_NSPbin,operon,base,21,none
0,0.0,0.1,0.05,0.0,0.0,332,0.0,UCI_CTG_NSPbin,operon,base,21,isotonic_cv3
1,0.1,0.2,0.15000000000000002,,,0,,UCI_CTG_NSPbin,operon,base,21,isotonic_cv3
2,0.2,0.30000000000000004,0.25,,,0,,UCI_CTG_NSPbin,operon,base,21,isotonic_cv3
3,0.30000000000000004,0.4,0.35000000000000003,,,0,,UCI_CTG_NSPbin,operon,base,21,isotonic_cv3
4,0.4,0.5,0.45,,,0,,UCI_CTG_NSPbin,operon,base,21,isotonic_cv3
5,0.5,0.6000000000000001,0.55,,,0,,UCI_CTG_NSPbin,operon,base,21,isotonic_cv3
6,0.6000000000000001,0.7000000000000001,0.6500000000000001,,,0,,UCI_CTG_NSPbin,operon,base,21,isotonic_cv3
7,0.7000000000000001,0.8,0.75,,,0,,UCI_CTG_NSPbin,operon,base,21,isotonic_cv3
8,0.8,0.9,0.8500000000000001,,,0,,UCI_CTG_NSPbin,operon,base,21,isotonic_cv3
9,0.9,1.0,0.95,1.0,1.0,94,0.0,UCI_CTG_NSPbin,operon,base,21,isotonic_cv3
0,0.0,0.1,0.05,,,0,,UCI_CTG_NSPbin,pstree,base,34,none
1,0.1,0.2,0.15000000000000002,,,0,,UCI_CTG_NSPbin,pstree,base,34,none
2,0.2,0.30000000000000004,0.25,,,0,,UCI_CTG_NSPbin,pstree,base,34,none
3,0.30000000000000004,0.4,0.35000000000000003,,,0,,UCI_CTG_NSPbin,pstree,base,34,none
4,0.4,0.5,0.45,,,0,,UCI_CTG_NSPbin,pstree,base,34,none
5,0.5,0.6000000000000001,0.55,0.5,0.10569105691056911,246,0.3943089430894309,UCI_CTG_NSPbin,pstree,base,34,none
6,0.6000000000000001,0.7000000000000001,0.6500000000000001,,,0,,UCI_CTG_NSPbin,pstree,base,34,none
7,0.7000000000000001,0.8,0.75,0.7310585786300049,0.0,11,0.7310585786300049,UCI_CTG_NSPbin,pstree,base,34,none
8,0.8,0.9,0.8500000000000001,0.8807970779778823,0.14285714285714285,7,0.7379399351207394,UCI_CTG_NSPbin,pstree,base,34,none
9,0.9,1.0,0.95,0.9960636180122112,0.41358024691358025,162,0.582483371098631,UCI_CTG_NSPbin,pstree,base,34,none
0,0.0,0.1,0.05,0.0904893561575734,0.0945945945945946,296,0.004105238437021194,UCI_CTG_NSPbin,pstree,base,34,isotonic_cv3
1,0.1,0.2,0.15000000000000002,0.16103059581320445,0.22727272727272727,22,0.06624213145952282,UCI_CTG_NSPbin,pstree,base,34,isotonic_cv3
2,0.2,0.30000000000000004,0.25,0.21299342105263158,0.125,16,0.08799342105263158,UCI_CTG_NSPbin,pstree,base,34,isotonic_cv3
3,0.30000000000000004,0.4,0.35000000000000003,0.3333333333333333,1.0,2,0.6666666666666667,UCI_CTG_NSPbin,pstree,base,34,isotonic_cv3
4,0.4,0.5,0.45,0.4,0.0,4,0.4,UCI_CTG_NSPbin,pstree,base,34,isotonic_cv3
5,0.5,0.6000000000000001,0.55,0.5634920634920635,0.75,8,0.1865079365079365,UCI_CTG_NSPbin,pstree,base,34,isotonic_cv3
6,0.6000000000000001,0.7000000000000001,0.6500000000000001,0.6818181818181817,0.6818181818181818,44,1.1102230246251565e-16,UCI_CTG_NSPbin,pstree,base,34,isotonic_cv3
7,0.7000000000000001,0.8,0.75,0.7142857142857144,0.6176470588235294,34,0.09663865546218497,UCI_CTG_NSPbin,pstree,base,34,isotonic_cv3
8,0.8,0.9,0.8500000000000001,,,0,,UCI_CTG_NSPbin,pstree,base,34,isotonic_cv3
9,0.9,1.0,0.95,,,0,,UCI_CTG_NSPbin,pstree,base,34,isotonic_cv3
0,0.0,0.1,0.05,,,0,,UCI_CTG_NSPbin,pysr,base,13,none
1,0.1,0.2,0.15000000000000002,,,0,,UCI_CTG_NSPbin,pysr,base,13,none
2,0.2,0.30000000000000004,0.25,,,0,,UCI_CTG_NSPbin,pysr,base,13,none
3,0.30000000000000004,0.4,0.35000000000000003,,,0,,UCI_CTG_NSPbin,pysr,base,13,none
4,0.4,0.5,0.45,,,0,,UCI_CTG_NSPbin,pysr,base,13,none
5,0.5,0.6000000000000001,0.55,0.5,0.0,332,0.5,UCI_CTG_NSPbin,pysr,base,13,none
6,0.6000000000000001,0.7000000000000001,0.6500000000000001,,,0,,UCI_CTG_NSPbin,pysr,base,13,none
7,0.7000000000000001,0.8,0.75,0.731056225211342,1.0,94,0.26894377478865805,UCI_CTG_NSPbin,pysr,base,13,none
8,0.8,0.9,0.8500000000000001,,,0,,UCI_CTG_NSPbin,pysr,base,13,none
9,0.9,1.0,0.95,,,0,,UCI_CTG_NSPbin,pysr,base,13,none
0,0.0,0.1,0.05,0.0,0.0,332,0.0,UCI_CTG_NSPbin,pysr,base,13,isotonic_cv3
1,0.1,0.2,0.15000000000000002,,,0,,UCI_CTG_NSPbin,pysr,base,13,isotonic_cv3
2,0.2,0.30000000000000004,0.25,,,0,,UCI_CTG_NSPbin,pysr,base,13,isotonic_cv3
3,0.30000000000000004,0.4,0.35000000000000003,,,0,,UCI_CTG_NSPbin,pysr,base,13,isotonic_cv3
4,0.4,0.5,0.45,,,0,,UCI_CTG_NSPbin,pysr,base,13,isotonic_cv3
5,0.5,0.6000000000000001,0.55,,,0,,UCI_CTG_NSPbin,pysr,base,13,isotonic_cv3
6,0.6000000000000001,0.7000000000000001,0.6500000000000001,,,0,,UCI_CTG_NSPbin,pysr,base,13,isotonic_cv3
7,0.7000000000000001,0.8,0.75,,,0,,UCI_CTG_NSPbin,pysr,base,13,isotonic_cv3
8,0.8,0.9,0.8500000000000001,,,0,,UCI_CTG_NSPbin,pysr,base,13,isotonic_cv3
9,0.9,1.0,0.95,1.0,1.0,94,0.0,UCI_CTG_NSPbin,pysr,base,13,isotonic_cv3
0,0.0,0.1,0.05,,,0,,UCI_CTG_NSPbin,operon,base,13,none
1,0.1,0.2,0.15000000000000002,,,0,,UCI_CTG_NSPbin,operon,base,13,none
2,0.2,0.30000000000000004,0.25,,,0,,UCI_CTG_NSPbin,operon,base,13,none
3,0.30000000000000004,0.4,0.35000000000000003,,,0,,UCI_CTG_NSPbin,operon,base,13,none
4,0.4,0.5,0.45,,,0,,UCI_CTG_NSPbin,operon,base,13,none
5,0.5,0.6000000000000001,0.55,0.5000011481699503,0.0,332,0.5000011481699503,UCI_CTG_NSPbin,operon,base,13,none
