dataset,method,experiment,AUPRC_median,AUPRC_IQR,AUPRC_mean,AUPRC_std,AUPRC_n,AUROC_median,AUROC_IQR,AUROC_mean,AUROC_std,AUROC_n,Brier_median,Brier_IQR,Brier_mean,Brier_std,Brier_n
UCI_CTG_NSPbin,lgo,base,1.0,0.0,1.0,0.0,10,1.0,0.0,1.0,0.0,10,0.2107957086480757,0.0,0.2107957086480757,2.925694557147251e-17,10
UCI_CTG_NSPbin,lgo,lgo_hard,1.0,0.0,1.0,0.0,10,1.0,0.0,1.0,0.0,10,0.2107957086480757,0.0,0.2107957086480757,2.925694557147251e-17,10
UCI_CTG_NSPbin,lgo,lgo_soft,1.0,0.0,1.0,0.0,10,1.0,0.0,1.0,0.0,10,0.21074124872420055,0.000694567195066359,0.21304348998053318,0.006386758851081788,10
UCI_CTG_NSPbin,operon,base,1.0,0.0,1.0,0.0,10,1.0,0.0,1.0,0.0,10,0.21079712603042944,8.533705169455619e-07,0.21081338034635863,5.8484471923856504e-05,10
UCI_CTG_NSPbin,pstree,base,0.5198185013452158,0.026852710437036298,0.5256910754775069,0.032285182709743725,7,0.7634260446039478,0.01554088695206357,0.7663236532757169,0.013270302902785708,7,0.3891999275547042,0.010189887847643742,0.38772357491735654,0.01737910881176906,7
UCI_CTG_NSPbin,pysr,base,1.0,0.0,1.0,0.0,10,1.0,0.0,1.0,0.0,10,0.2107957092252552,2.844534535695331e-08,0.21079700952047328,4.010262377887683e-06,10
UCI_CTG_NSPbin,rils_rols,base,0.22460763988778032,0.13198649661084919,0.2877945190217487,0.11636455090230065,10,0.5,0.054224878236349694,0.5171542553191489,0.1418410230694604,10,0.2996308382560236,0.1041132281633721,0.33340328420512944,0.1731794614307806,10
