dataset,method,experiment,seed,calibrator,ECE,n_samples
UCI_CTG_NSPbin,lgo,base,8,none,0.4490152432130976,426
UCI_CTG_NSPbin,lgo,base,8,isotonic_cv3,0.0,426
UCI_CTG_NSPbin,pysr,base,8,none,0.4490152415594122,426
UCI_CTG_NSPbin,pysr,base,8,isotonic_cv3,0.0,426
UCI_CTG_NSPbin,lgo_lgo,hard,89,none,0.4490152432130976,426
UCI_CTG_NSPbin,lgo_lgo,hard,89,isotonic_cv3,0.0,426
UCI_CTG_NSPbin,pstree,base,2,none,0.47952700492626893,426
UCI_CTG_NSPbin,pstree,base,2,isotonic_cv3,0.06923454019181594,426
UCI_CTG_NSPbin,rils_rols,base,5,none,0.38206982187158584,426
UCI_CTG_NSPbin,rils_rols,base,5,isotonic_cv3,0.029261858798091244,426
UCI_CTG_NSPbin,rils_rols,base,8,none,0.7793427230046949,426
UCI_CTG_NSPbin,rils_rols,base,8,isotonic_cv3,0.0,426
UCI_CTG_NSPbin,operon,base,2,none,0.4490170896426011,426
UCI_CTG_NSPbin,operon,base,2,isotonic_cv3,0.0,426
UCI_CTG_NSPbin,rils_rols,base,34,none,0.1945243319522638,426
UCI_CTG_NSPbin,rils_rols,base,34,isotonic_cv3,0.023816326776284088,426
UCI_CTG_NSPbin,lgo_lgo,soft,21,none,0.4490148174002473,426
UCI_CTG_NSPbin,lgo_lgo,soft,21,isotonic_cv3,0.0,426
UCI_CTG_NSPbin,pstree,base,8,none,0.45080187695099616,426
UCI_CTG_NSPbin,pstree,base,8,isotonic_cv3,0.03626924153607313,426
UCI_CTG_NSPbin,pysr,base,55,none,0.44901524580920543,426
UCI_CTG_NSPbin,pysr,base,55,isotonic_cv3,0.0,426
UCI_CTG_NSPbin,lgo,base,3,none,0.4490152432130976,426
UCI_CTG_NSPbin,lgo,base,3,isotonic_cv3,0.0,426
UCI_CTG_NSPbin,rils_rols,base,1,none,0.27070760931220716,426
UCI_CTG_NSPbin,rils_rols,base,1,isotonic_cv3,0.02912291777309403,426
UCI_CTG_NSPbin,lgo_lgo,hard,13,none,0.4490152432130976,426
UCI_CTG_NSPbin,lgo_lgo,hard,13,isotonic_cv3,0.0,426
UCI_CTG_NSPbin,rils_rols,base,21,none,0.30358086860939476,426
