dataset,method,experiment,seed,expr_id,expression,complexity,depth,expr_length,num_gates,num_AND,num_OR,num_soft,num_pair,num_gate_expr
UCI_CTG_NSPbin,lgo,base,2,24,"sqrt(add(mul(pow(zero, id(NSP)), zero), sqrt(sqrt(sqrt(sqrt(div(sqrt(id(idF(NSP))), sqrt(id(idF(NSP))))))))))",21,10,109,0,0,0,0,0,0
UCI_CTG_NSPbin,lgo,base,2,25,"sqrt(add(mul(sqrt(sqrt(id(idF(NSP)))), zero), sqrt(sqrt(sqrt(sqrt(div(sqrt(id(idF(NSP))), sqrt(id(idF(NSP))))))))))",22,10,115,0,0,0,0,0,0
UCI_CTG_NSPbin,lgo,base,2,26,"sqrt(sqrt(add(zero, sqrt(sqrt(sub(pow(sqrt(sqrt(id(NSP))), zero), sqrt(pow(div(zero, -0.2206493674640152), add(0.6210837097362776, div(zero, -0.2206493674640152))))))))))",23,10,170,0,0,0,0,0,0
UCI_CTG_NSPbin,lgo,base,2,27,"sqrt(add(mul(mul(log(one), log(pow(id(idF(idF(idF(LB)))), sqrt(0.9120959042170734)))), zero), sqrt(sqrt(sqrt(sqrt(div(sqrt(id(idF(NSP))), sqrt(id(NSP)))))))))",28,10,158,0,0,0,0,0,0
UCI_CTG_NSPbin,lgo,base,2,28,"sqrt(add(mul(mul(log(one), log(pow(id(idF(idF(NSP))), sqrt(0.9120959042170734)))), zero), sqrt(sqrt(sqrt(sqrt(div(sqrt(id(idF(NSP))), sqrt(id(idF(NSP))))))))))",28,10,159,0,0,0,0,0,0
UCI_CTG_NSPbin,lgo,base,2,29,"sqrt(sqrt(add(zero, sqrt(sqrt(sub(pow(sqrt(sqrt(id(NSP))), mul(pow(-1.1082912171721935, id(NSP)), zero)), sqrt(pow(div(zero, -0.2206493674640152), add(0.6210837097362776, div(zero, -0.2206493674640152))))))))))",28,10,210,0,0,0,0,0,0
UCI_CTG_NSPbin,lgo,base,21,30,"sqrt(add(pow(sqrt(id(NSP)), zero), sqrt(zero)))",9,5,47,0,0,0,0,0,0
UCI_CTG_NSPbin,lgo,base,21,31,"sqrt(add(pow(sqrt(id(idF(NSP))), zero), pow(zero, -0.37630815672208845)))",11,6,73,0,0,0,0,0,0
UCI_CTG_NSPbin,lgo,base,21,32,"sqrt(add(pow(sqrt(id(NSP)), zero), mul(pow(-1.1082912171721935, id(idF(NSP))), zero)))",14,6,86,0,0,0,0,0,0
UCI_CTG_NSPbin,lgo,base,21,33,"sqrt(add(pow(sqrt(id(NSP)), zero), pow(zero, mul(zero, -1.298646294619465))))",12,5,77,0,0,0,0,0,0
UCI_CTG_NSPbin,lgo,base,21,34,"sqrt(add(pow(sqrt(id(NSP)), zero), pow(zero, sub(1.2313380253419495, zero))))",12,5,77,0,0,0,0,0,0
UCI_CTG_NSPbin,lgo,base,21,35,"sqrt(add(pow(sqrt(id(idF(NSP))), zero), mul(pow(-1.1082912171721935, id(NSP)), zero)))",14,6,86,0,0,0,0,0,0
UCI_CTG_NSPbin,lgo,base,21,36,"sqrt(add(pow(sqrt(id(idF(idF(NSP)))), zero), pow(log(one), -0.37630815672208845)))",13,7,82,0,0,0,0,0,0
UCI_CTG_NSPbin,lgo,base,21,37,"sqrt(add(pow(sqrt(id(NSP)), zero), pow(zero, mul(sub(one, one), -0.37630815672208845))))",14,5,88,0,0,0,0,0,0
UCI_CTG_NSPbin,lgo,base,21,38,"sqrt(add(pow(sqrt(id(NSP)), zero), mul(pow(zero, pow(zero, zero)), zero)))",14,5,74,0,0,0,0,0,0
UCI_CTG_NSPbin,lgo,base,21,39,"sqrt(add(pow(sqrt(id(NSP)), zero), pow(mul(pow(-1.1082912171721935, id(idF(NSP))), zero), -0.37630815672208845)))",16,7,113,0,0,0,0,0,0
UCI_CTG_NSPbin,lgo,base,3,40,"add(mul(sqrt(zero), log(id(idF(DS)))), sqrt(pow(id(idF(idF(NSP))), zero)))",15,6,74,0,0,0,0,0,0
UCI_CTG_NSPbin,lgo,base,3,41,"add(mul(sqrt(zero), mul(one, add(id(idF(idF(idF(ALTV)))), one))), sqrt(pow(id(idF(idF(idF(NSP)))), zero)))",21,8,106,0,0,0,0,0,0
UCI_CTG_NSPbin,lgo,base,3,42,"add(mul(sqrt(zero), mul(one, add(id(idF(idF(idF(NSP)))), one))), sqrt(pow(id(idF(idF(NSP))), zero)))",20,8,100,0,0,0,0,0,0
UCI_CTG_NSPbin,lgo,base,3,43,"add(mul(sqrt(zero), mul(one, add(id(idF(idF(idF(ALTV)))), mul(0.9318628872390753, sqrt(id(idF(idF(NSP)))))))), sqrt(pow(id(idF(idF(NSP))), zero)))",26,9,146,0,0,0,0,0,0
UCI_CTG_NSPbin,lgo,base,3,44,"add(mul(sqrt(zero), mul(one, sqrt(div(div(one, zero), id(NSP))))), sqrt(pow(id(idF(NSP)), zero)))",19,6,97,0,0,0,0,0,0
UCI_CTG_NSPbin,lgo,base,3,45,"add(mul(sqrt(zero), mul(one, sqrt(div(add(one, sqrt(mul(0.9318628872390753, sqrt(id(NSP))))), id(NSP))))), sqrt(pow(id(idF(NSP)), zero)))",24,10,137,0,0,0,0,0,0
