dataset,method,experiment,n_models,n_with_gates,prop_with_gates,gates_median,gates_q1,gates_q3,complexity_median,complexity_q1,complexity_q3,score_median
UCI_CTG_NSPbin,lgo,base,100,0,0.0,0.0,0.0,0.0,6.75,6.0,8.5,0.0
UCI_CTG_NSPbin,lgo,lgo_hard,100,71,0.71,1.0,0.0,1.0,4.5,3.5,5.0,5.931151304084959e-53
UCI_CTG_NSPbin,lgo,lgo_soft,100,100,1.0,19.0,17.0,22.0,109.19999999999999,101.3,133.89999999999998,2.782630524310334e-07
