dataset,task,method,experiment,seed,split,check,status,value,threshold,notes
UCI_HydraulicSys_fault_score,regression,operon,base,5,0,metrics_guard_RMSE_ge_MAE,OK,0.020616024823711693,>= 0,
UCI_HydraulicSys_fault_score,regression,lgo,base,8,0,anomaly_scan_raw_pred,OK,,,"nan=False, inf=False, const=False, sentinel>=1000000.0=False, huge>=10000.0=False"
UCI_HydraulicSys_fault_score,regression,lgo,base,8,0,metrics_guard_RMSE_ge_MAE,OK,0.019987616978000083,>= 0,
UCI_HydraulicSys_fault_score,regression,lgo,lgo_soft,8,0,anomaly_scan_raw_pred,OK,,,"nan=False, inf=False, const=False, sentinel>=1000000.0=False, huge>=10000.0=False"
UCI_HydraulicSys_fault_score,regression,lgo,lgo_soft,8,0,metrics_guard_RMSE_ge_MAE,OK,0.026656490394449187,>= 0,
UCI_HydraulicSys_fault_score,regression,lgo,lgo_hard,8,0,anomaly_scan_raw_pred,OK,,,"nan=False, inf=False, const=False, sentinel>=1000000.0=False, huge>=10000.0=False"
UCI_HydraulicSys_fault_score,regression,lgo,lgo_hard,8,0,metrics_guard_RMSE_ge_MAE,OK,0.027147227249371728,>= 0,
UCI_HydraulicSys_fault_score,regression,pysr,base,8,0,anomaly_scan_raw_pred,OK,,,"nan=False, inf=False, const=False, sentinel>=1000000.0=False, huge>=10000.0=False"
UCI_HydraulicSys_fault_score,regression,pysr,base,8,0,metrics_guard_RMSE_ge_MAE,OK,0.01795917527185762,>= 0,
UCI_HydraulicSys_fault_score,regression,operon,base,8,0,anomaly_scan_raw_pred,OK,,,"nan=False, inf=False, const=False, sentinel>=1000000.0=False, huge>=10000.0=False"
UCI_HydraulicSys_fault_score,regression,operon,base,8,0,metrics_guard_RMSE_ge_MAE,OK,0.016716490882903556,>= 0,
UCI_HydraulicSys_fault_score,regression,lgo,base,13,0,anomaly_scan_raw_pred,OK,,,"nan=False, inf=False, const=False, sentinel>=1000000.0=False, huge>=10000.0=False"
UCI_HydraulicSys_fault_score,regression,lgo,base,13,0,metrics_guard_RMSE_ge_MAE,OK,0.021746827513406952,>= 0,
UCI_HydraulicSys_fault_score,regression,lgo,lgo_soft,13,0,anomaly_scan_raw_pred,OK,,,"nan=False, inf=False, const=False, sentinel>=1000000.0=False, huge>=10000.0=False"
UCI_HydraulicSys_fault_score,regression,lgo,lgo_soft,13,0,metrics_guard_RMSE_ge_MAE,OK,0.030680749513497252,>= 0,
UCI_HydraulicSys_fault_score,regression,lgo,lgo_hard,13,0,anomaly_scan_raw_pred,OK,,,"nan=False, inf=False, const=False, sentinel>=1000000.0=False, huge>=10000.0=False"
UCI_HydraulicSys_fault_score,regression,lgo,lgo_hard,13,0,metrics_guard_RMSE_ge_MAE,OK,0.022525694441352453,>= 0,
UCI_HydraulicSys_fault_score,regression,pysr,base,13,0,anomaly_scan_raw_pred,OK,,,"nan=False, inf=False, const=False, sentinel>=1000000.0=False, huge>=10000.0=False"
UCI_HydraulicSys_fault_score,regression,pysr,base,13,0,metrics_guard_RMSE_ge_MAE,OK,0.019428146143160255,>= 0,
UCI_HydraulicSys_fault_score,regression,operon,base,13,0,anomaly_scan_raw_pred,OK,,,"nan=False, inf=False, const=False, sentinel>=1000000.0=False, huge>=10000.0=False"
UCI_HydraulicSys_fault_score,regression,operon,base,13,0,metrics_guard_RMSE_ge_MAE,OK,0.013173635285168697,>= 0,
UCI_HydraulicSys_fault_score,regression,lgo,base,21,0,anomaly_scan_raw_pred,OK,,,"nan=False, inf=False, const=False, sentinel>=1000000.0=False, huge>=10000.0=False"
UCI_HydraulicSys_fault_score,regression,lgo,base,21,0,metrics_guard_RMSE_ge_MAE,OK,0.021624613915530014,>= 0,
UCI_HydraulicSys_fault_score,regression,lgo,lgo_soft,21,0,anomaly_scan_raw_pred,OK,,,"nan=False, inf=False, const=False, sentinel>=1000000.0=False, huge>=10000.0=False"
UCI_HydraulicSys_fault_score,regression,lgo,lgo_soft,21,0,metrics_guard_RMSE_ge_MAE,OK,0.01828940697037601,>= 0,
UCI_HydraulicSys_fault_score,regression,lgo,lgo_hard,21,0,anomaly_scan_raw_pred,OK,,,"nan=False, inf=False, const=False, sentinel>=1000000.0=False, huge>=10000.0=False"
UCI_HydraulicSys_fault_score,regression,lgo,lgo_hard,21,0,metrics_guard_RMSE_ge_MAE,OK,0.023920032878151448,>= 0,
UCI_HydraulicSys_fault_score,regression,pysr,base,21,0,anomaly_scan_raw_pred,OK,,,"nan=False, inf=False, const=False, sentinel>=1000000.0=False, huge>=10000.0=False"
UCI_HydraulicSys_fault_score,regression,pysr,base,21,0,metrics_guard_RMSE_ge_MAE,OK,0.020680587905969397,>= 0,
UCI_HydraulicSys_fault_score,regression,operon,base,21,0,anomaly_scan_raw_pred,OK,,,"nan=False, inf=False, const=False, sentinel>=1000000.0=False, huge>=10000.0=False"
UCI_HydraulicSys_fault_score,regression,operon,base,21,0,metrics_guard_RMSE_ge_MAE,OK,0.01572787526506858,>= 0,
UCI_HydraulicSys_fault_score,regression,lgo,base,34,0,anomaly_scan_raw_pred,OK,,,"nan=False, inf=False, const=False, sentinel>=1000000.0=False, huge>=10000.0=False"
UCI_HydraulicSys_fault_score,regression,lgo,base,34,0,metrics_guard_RMSE_ge_MAE,OK,0.01689732817071138,>= 0,
UCI_HydraulicSys_fault_score,regression,lgo,lgo_soft,34,0,anomaly_scan_raw_pred,OK,,,"nan=False, inf=False, const=False, sentinel>=1000000.0=False, huge>=10000.0=False"
UCI_HydraulicSys_fault_score,regression,lgo,lgo_soft,34,0,metrics_guard_RMSE_ge_MAE,OK,0.030195677261917908,>= 0,
UCI_HydraulicSys_fault_score,regression,lgo,lgo_hard,34,0,anomaly_scan_raw_pred,OK,,,"nan=False, inf=False, const=False, sentinel>=1000000.0=False, huge>=10000.0=False"
UCI_HydraulicSys_fault_score,regression,lgo,lgo_hard,34,0,metrics_guard_RMSE_ge_MAE,OK,0.03364170127071056,>= 0,
